EPIC_ID,Run,Verified 
206245553,1,1
201637175,1,1
206028176,1,1
201862715,1,1
210666756,1,1
211089792,1,1
201155177,1,1
206026904,1,1
201613023,1,1
205148699,1,1
201833600,1,1
210403955,1,1
206267115,1,1
206103150,1,1
201690311,1,1
206348688,1,1
201205469,1,1
203823381,1,1
206114294,1,1
211147528,1,1
203710387,1,1
201546283,1,1
210894022,1,1
206096602,1,1
206192813,1,1
210401157,1,1
206209135,1,1
205924614,1,1
201324549,1,1
201754305,1,1
201512465,1,1
203826436,1,1
202126852,1,1
210968143,1,1
206153219,1,1
201338508,1,1
210754505,1,1
201617985,1,1
206154641,1,1
205029914,1,1
210903662,1,1
201565013,1,1
204129699,1,1
210838726,1,1
204221263,1,1
210750726,1,1
201345483,1,1
204873331,1,1
206192335,1,1
206125618,1,1
210508766,1,1
202071289,1,1
206038483,1,1
203485624,1,1
206011496,1,1
205703094,1,0
202126888,1,1
210718708,1,1
201717274,1,1
204043888,1,1
210400751,1,1
202071401,1,1
202066537,1,1
210483889,1,1
201635569,1,1
201549860,1,1
210707130,1,1
203929178,1,1
203294831,1,1
201626686,1,1
210448987,1,1
210363145,1,1
206061524,1,1
205916793,1,1
206011691,1,1
205064326,1,1
206159027,1,1
201445392,1,1
210414957,1,1
205071984,1,1
201295312,1,1
206162305,1,1
210958990,1,1
201505350,1,1
202059377,1,1
205944181,1,1
201713348,1,1
210957318,1,1
206135267,1,1
211077024,1,1
201928106,1,1
210577548,1,1
201247497,1,1
210731500,1,1
211152484,1,1
210513446,1,1
206044803,1,1
202088212,1,1
210659688,1,1
210625740,1,1
206247743,1,1
203776696,1,1
206026136,1,1
206036749,1,1
202126849,1,1
